n_seq	file_name
60550	syn-08_ACAAAA-JRF3L_L001_R2.fastq.gz
46116	syn-11_CGGGAG-JRF3L_L001_R2.fastq.gz
52871	syn-12_AACCGA-JRF3L_L001_R2.fastq.gz
49101	syn-18_TGCGGG-JRF3L_L001_R2.fastq.gz
52015	syn-19_TCTATG-JRF3L_L001_R2.fastq.gz
46552	syn-20_GGACGG-JRF3L_L001_R2.fastq.gz
47333	syn-21_AGAGGG-JRF3L_L001_R2.fastq.gz
59683	syn-22_ATGAAC-JRF3L_L001_R2.fastq.gz
48149	syn-23_TACCTG-JRF3L_L001_R2.fastq.gz
50539	syn-24_CTAGAG-JRF3L_L001_R2.fastq.gz
53854	syn-25_GAGATA-JRF3L_L001_R2.fastq.gz
50703	syn-26_ATGCTT-JRF3L_L001_R2.fastq.gz
48330	syn-27_GCATAC-JRF3L_L001_R2.fastq.gz
66788	syn-28_CCCAAA-JRF3L_L001_R2.fastq.gz
49828	syn-29_GATGCT-JRF3L_L001_R2.fastq.gz
58081	syn-30_CTACGC-JRF3L_L001_R2.fastq.gz
55430	syn-31_CTCTAC-JRF3L_L001_R2.fastq.gz
47345	syn-32_ACCGTG-JRF3L_L001_R2.fastq.gz
58008	syn-33_ACTACT-JRF3L_L001_R2.fastq.gz
59595	syn-34_CCTCTT-JRF3L_L001_R2.fastq.gz
57158	syn-35_GTAGAA-JRF3L_L001_R2.fastq.gz
51121	syn-36_TGGGTA-JRF3L_L001_R2.fastq.gz
49822	syn-37_CTGAGG-JRF3L_L001_R2.fastq.gz
55557	syn-38_TCATCA-JRF3L_L001_R2.fastq.gz
57024	syn-39_CTTGCA-JRF3L_L001_R2.fastq.gz
56669	syn-40_CATGTT-JRF3L_L001_R2.fastq.gz
58230	syn-41_TGGATT-JRF3L_L001_R2.fastq.gz
54447	syn-42_AACGCA-JRF3L_L001_R2.fastq.gz
50709	syn-43_TTCGAG-JRF3L_L001_R2.fastq.gz
48076	syn-44_AGTTTG-JRF3L_L001_R2.fastq.gz
40086	syn-45_TCCCCA-JRF3L_L001_R2.fastq.gz
50470	syn-46_AACTAG-JRF3L_L001_R2.fastq.gz
42913	syn-47_GTTCGC-JRF3L_L001_R2.fastq.gz
56391	syn-48_TGCCTT-JRF3L_L001_R2.fastq.gz
60638	syn-49_ATAAGA-JRF3L_L001_R2.fastq.gz
60206	syn-50_CACACT-JRF3L_L001_R2.fastq.gz
65873	syn-51_ACAGTT-JRF3L_L001_R2.fastq.gz
54837	syn-52_TTGCCC-JRF3L_L001_R2.fastq.gz
52002	syn-53_CAGTCT-JRF3L_L001_R2.fastq.gz
56701	syn-54_TTAAAT-JRF3L_L001_R2.fastq.gz
54378	syn-55_AATTGC-JRF3L_L001_R2.fastq.gz
66865	syn-56_AACTTA-JRF3L_L001_R2.fastq.gz
55541	syn-57_CAGATG-JRF3L_L001_R2.fastq.gz
46386	syn-58_TCGCGC-JRF3L_L001_R2.fastq.gz
63128	syn-59_TAACTT-JRF3L_L001_R2.fastq.gz
47463	syn-60_CTGTAA-JRF3L_L001_R2.fastq.gz
50512	syn-61_CCATTG-JRF3L_L001_R2.fastq.gz
49485	syn-62_TAGGCT-JRF3L_L001_R2.fastq.gz
52654	syn-63_TTCTTG-JRF3L_L001_R2.fastq.gz
56235	syn-64_CCGACC-JRF3L_L001_R2.fastq.gz
57380	syn-65_TTAGCT-JRF3L_L001_R2.fastq.gz
51543	syn-66_CAGAGC-JRF3L_L001_R2.fastq.gz
58127	syn-67_AATATG-JRF3L_L001_R2.fastq.gz
44591	syn-68_TGAGCA-JRF3L_L001_R2.fastq.gz
57268	syn-69_AATCAC-JRF3L_L001_R2.fastq.gz
50989	syn-70_GGTAGC-JRF3L_L001_R2.fastq.gz
53084	syn-71_CTCTCG-JRF3L_L001_R2.fastq.gz
55011	syn-72_AAATTG-JRF3L_L001_R2.fastq.gz
57361	syn-73_GCAAAT-JRF3L_L001_R2.fastq.gz
53989	syn-74_CTGTGC-JRF3L_L001_R2.fastq.gz
59914	syn-75_ACATAT-JRF3L_L001_R2.fastq.gz
50415	syn-76_TGCTGA-JRF3L_L001_R2.fastq.gz
52432	syn-77_GAGCTT-JRF3L_L001_R2.fastq.gz
49680	syn-78_TCTCGG-JRF3L_L001_R2.fastq.gz
58269	syn-79_AGCGAC-JRF3L_L001_R2.fastq.gz
51180	syn-80_GCCAAG-JRF3L_L001_R2.fastq.gz
54567	syn-81_AGGTTC-JRF3L_L001_R2.fastq.gz
55683	syn-82_TTTTTC-JRF3L_L001_R2.fastq.gz
53366	syn-83_GTCGTG-JRF3L_L001_R2.fastq.gz
54910	syn-84_GGTGTT-JRF3L_L001_R2.fastq.gz
56691	syn-85_GTTTCT-JRF3L_L001_R2.fastq.gz
55212	syn-86_ACACGC-JRF3L_L001_R2.fastq.gz
63001	syn-87_CACCCA-JRF3L_L001_R2.fastq.gz
57409	syn-88_GTTACC-JRF3L_L001_R2.fastq.gz
2667	syn-negr1-2_ACTCGA-JRF3L_L001_R2.fastq.gz
