reads.in	reads.out
37170	32141
37553	33907
25645	21692
36881	33380
50524	45425
42306	38519
30645	26540
33855	29475
32116	27489
35147	31160
37689	33850
33975	30545
35305	30933
34482	28995
33801	30075
38909	33010
32793	28919
34030	29182
36576	31626
25229	20913
30315	26290
34335	29778
29052	24917
34187	29408
27020	23134
34709	29240
31077	26364
33477	28061
29892	25857
33537	28805
28602	24709
37502	31473
30506	26179
34676	29397
37947	33274
29241	25067
35939	30113
37230	32652
32671	28492
35161	30762
30129	25667
33436	29677
35865	31710
36355	31403
27351	23595
38733	32651
30712	27309
43685	39507
38259	33370
36928	32348
36757	32208
30150	26530
30029	25874
32847	29007
28349	24964
33597	28656
33465	28528
31896	27855
36626	32299
38180	33787
35309	31528
38954	34651
31291	27229
34628	30578
40640	36901
41137	36891
41293	37075
34356	30385
31172	27144
31914	27990
38379	34059
44159	40083
45006	40594
41714	37650
38015	33983
37739	33828
54298	49063
45458	40878
51348	46017
43118	39055
44586	40250
39876	35629
41289	38348
46093	41875
43567	39362
45183	40807
40530	36455
40126	36369
51274	46330
42094	37983
43682	39475
44094	40255
43902	39719
41990	37379
54467	48782
42838	38863
50813	45735
46860	42194
41658	37556
48926	44260
49916	45264
47767	43044
44072	39854
43487	39179
47227	42703
49215	44592
46845	42158
49739	45326
46552	42076
44534	39848
42161	38436
34717	31338
43250	38795
37771	33965
48986	44028
49238	44129
51143	46083
56213	50519
48647	44017
44725	40180
45692	40922
47887	43773
55936	51285
47660	42627
41124	36768
52790	47288
40323	36051
44311	39805
43182	38635
45647	40789
49587	44273
49366	44375
44903	40150
48281	43138
38638	34419
48280	43378
44652	39764
46712	42020
45834	40788
48160	42876
47650	42583
49102	43650
44075	39074
45268	40671
43818	39309
51840	47168
45428	41150
48947	44089
46573	41640
47407	43278
47164	43021
48291	43940
48534	44085
53541	48448
50772	46495
1286	136
