reads.in	reads.out
45540	44296
38133	37001
34678	33761
38323	37332
50554	49137
44032	42815
37405	36445
40796	39731
37527	36521
39758	38670
41887	40753
37297	36296
42878	41690
40653	39563
39465	38439
44908	43729
40122	39115
42913	41738
45753	44527
31691	30799
37219	36247
41230	40100
36557	35614
41972	40882
33823	32833
41237	40069
39761	38634
42069	40772
38077	36967
41666	40480
35155	34141
44352	43033
38037	36956
43838	42583
45540	44214
35200	34155
41551	40416
43625	42457
40075	38904
41538	40349
34922	33910
38481	37357
42059	40958
43321	42085
34617	33658
45313	44114
35881	34904
44516	43066
42389	41301
43781	42614
43555	42431
36729	35775
37424	36495
38504	37499
34094	33220
42363	41227
44770	43607
39654	38583
44010	42899
42336	41157
40501	39444
41959	40840
37356	36298
41855	40693
42909	41802
46468	45267
45292	44037
39462	38402
38291	37267
38533	37526
44247	43097
44390	43053
45095	43788
42183	40863
38095	36766
37963	36817
54675	53086
45921	44587
51756	50197
43080	41900
44820	43429
39574	38321
41157	39687
45918	44526
43739	42222
45197	43621
41107	39637
40737	39389
51573	49929
42243	40760
43919	42290
44533	43005
44056	42466
42342	40832
54993	53109
43334	41853
50979	49150
47191	45497
42018	40535
49258	47604
50197	48487
47998	46296
44374	42899
43975	42526
47596	46015
49824	48105
48328	46671
50327	48593
46978	45511
45015	43557
41892	40572
34918	33723
43330	41937
38146	36897
49185	47591
49560	47901
51189	49406
57079	55333
49204	47760
45296	43801
46086	44625
47914	46332
56490	54711
48455	46851
41678	40384
52541	50867
40199	38920
44400	43025
43323	42152
45325	43980
48982	47441
49677	48312
44935	43621
48426	47049
38797	37651
48404	47027
44777	43487
47073	45661
45757	44328
48277	46847
47984	46698
48903	47518
43986	42800
45358	44059
44182	42870
52082	50409
45285	43850
48540	47024
45929	44462
47530	46104
47138	45694
48682	47341
48532	46877
53713	51844
50952	49422
201	159
